"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"380","Aaron Gagnon","WPG","C","32","1986-04-24","Quesnel","BC","CAN","CAN","71","186","2004","PHX","8","13","240"
"184","Aaron Johnson","BOS","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"539","Aaron Palushaj","COL","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"251","Aaron Rome","DAL","D","35","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"744","Aaron Volpatti","VAN, WSH","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"216","Adam Burish","S.J","R","36","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"383","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"112","Adam Hall","CAR, PHI, T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"637","Adam Henrique","N.J","C","29","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"807","Adam Larsson","N.J","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"415","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"371","Adam Pardy","BUF","D","35","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"8","Adrian Aucoin","CBJ","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"548","Akim Aliu","CGY","R","29","1989-04-24","Okene","","NGA","NGA","76","225","2007","CHI","2","26","56"
"581","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"167","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"687","Alex Chiasson","DAL","R","28","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"829","Alex Galchenyuk","MTL","C","25","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"348","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"529","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"3","Alex Kovalev","FLA","R","46","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"325","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"761","Alex Petrovic","FLA","D","27","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
"603","Alex Pietrangelo","STL","D","29","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
