"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"406","Nikita Kucherov","T.B","R","82","1637.1666666667","41","87","53","34","128","82.58","246","16.67","21","499","363","255","54","14","22","62","26","25","0","1","24","89","58","44","101","31","0","3","0.00"
"692","Connor McDavid","EDM","C","78","1781.3","41","75","57","18","116","81.69","240","17.08","30.95","423","327","295","121","7","22","20","10","10","0","0","35","89","99","39","108","30","428","490","46.62"
"165","Patrick Kane","CHI","R","81","1821.6166666667","44","66","40","26","110","77.46","341","12.90","30.43","598","454","311","93","15","26","22","11","11","0","0","23","54","42","21","96","18","1","4","20.00"
"614","Leon Draisaitl","EDM","C","82","1852.45","50","55","33","22","105","74.47","231","21.65","26.62","404","311","263","116","16","23","52","26","26","0","0","29","116","71","57","121","26","677","663","50.52"
"78","Sidney Crosby","PIT","C","79","1658.35","35","65","49","16","100","71.94","220","15.91","27.6","348","290","241","133","8","28","36","13","12","0","1","25","67","54","85","88","43","1012","814","55.42"
"107","Brad Marchand","BOS","L","79","1550.2666666667","36","64","35","29","100","74.63","231","15.58","24.9","430","327","236","98","24","25","96","33","28","2","3","36","84","59","46","80","19","45","60","42.86"
"371","Johnny Gaudreau","CGY","L","82","1646.0833333333","36","63","39","24","99","75.57","245","14.69","25.69","436","338","231","97","11","23","24","12","12","0","0","43","124","58","12","66","12","1","2","33.33"
"572","Nathan MacKinnon","COL","C","82","1811.5","41","58","32","26","99","70.21","365","11.23","32.5","589","455","334","126","11","35","34","17","17","0","0","48","64","48","54","95","31","517","666","43.70"
"184","Steven Stamkos","T.B","C","82","1500.6166666667","45","53","37","16","98","74.81","234","19.23","22.31","425","328","259","65","7","24","37","17","16","1","0","23","60","28","72","88","40","506","447","53.10"
"573","Aleksander Barkov","FLA","C","82","1833.0166666667","35","61","37","24","96","66.67","206","16.99","23.7","318","277","198","102","11","19","8","4","4","0","0","35","69","100","28","139","61","1041","898","53.69"
"729","Mitchell Marner","TOR","C, R","82","1625.4333333333","26","68","52","16","94","70.68","233","11.16","23.72","450","319","274","71","14","31","22","11","11","0","0","20","67","78","29","87","43","7","4","63.64"
